ctime,relname,pid,mode,granted
1416638727.66996,part,27179,RowExclusiveLock,t
1416638727.66996,pg_locks,27160,AccessShareLock,t
1416638727.66996,pg_stat_all_indexes,27159,AccessShareLock,t
1416638727.66996,pg_stat_all_tables,27162,AccessShareLock,t
1416638727.66996,pg_stat_database,27158,AccessShareLock,t
1416638727.66996,pg_statio_all_indexes,27159,AccessShareLock,t
1416638727.66996,pg_statio_all_tables,27162,AccessShareLock,t
1416638727.66996,supplier,27178,RowExclusiveLock,t
1416638787.67161,lineitem,27183,RowExclusiveLock,t
1416638787.67161,orders,27182,RowExclusiveLock,t
1416638787.67161,pg_locks,27242,AccessShareLock,t
1416638787.67161,pg_stat_activity,27241,AccessShareLock,t
1416638787.67161,pg_stat_all_indexes,27245,AccessShareLock,t
1416638787.67161,pg_stat_all_tables,27244,AccessShareLock,t
1416638787.67161,pg_stat_database,27243,AccessShareLock,t
1416638787.67161,pg_statio_all_indexes,27245,AccessShareLock,t
1416638787.67161,pg_statio_all_tables,27244,AccessShareLock,t
1416638847.67534,lineitem,27183,RowExclusiveLock,t
1416638847.67534,pg_locks,27264,AccessShareLock,t
1416638847.67534,pg_stat_activity,27263,AccessShareLock,t
1416638847.67534,pg_stat_all_indexes,27266,AccessShareLock,t
1416638847.67534,pg_stat_all_tables,27262,AccessShareLock,t
1416638847.67534,pg_stat_database,27265,AccessShareLock,t
1416638847.67534,pg_statio_all_indexes,27266,AccessShareLock,t
1416638847.67534,pg_statio_all_tables,27262,AccessShareLock,t
1416638907.67803,lineitem,27183,ExclusiveLock,t
1416638907.67803,lineitem,27183,RowExclusiveLock,t
1416638907.67803,pg_locks,27278,AccessShareLock,t
1416638907.67803,pg_stat_activity,27279,AccessShareLock,t
1416638907.67803,pg_stat_all_indexes,27276,AccessShareLock,t
1416638907.67803,pg_stat_all_tables,27280,AccessShareLock,t
1416638907.67803,pg_stat_database,27277,AccessShareLock,t
1416638907.67803,pg_statio_all_indexes,27276,AccessShareLock,t
1416638907.67803,pg_statio_all_tables,27280,AccessShareLock,t
1416638967.68169,lineitem,27183,RowExclusiveLock,t
1416638967.68169,pg_locks,27291,AccessShareLock,t
1416638967.68169,pg_stat_all_indexes,27293,AccessShareLock,t
1416638967.68169,pg_stat_all_tables,27290,AccessShareLock,t
1416638967.68169,pg_stat_database,27292,AccessShareLock,t
1416638967.68169,pg_statio_all_indexes,27293,AccessShareLock,t
1416638967.68169,pg_statio_all_tables,27290,AccessShareLock,t
1416639027.68379,lineitem,27183,RowExclusiveLock,t
1416639027.68379,pg_locks,27305,AccessShareLock,t
1416639027.68379,pg_stat_activity,27304,AccessShareLock,t
1416639027.68379,pg_stat_all_indexes,27303,AccessShareLock,t
1416639027.68379,pg_stat_all_tables,27306,AccessShareLock,t
1416639027.68379,pg_stat_database,27302,AccessShareLock,t
1416639027.68379,pg_statio_all_indexes,27303,AccessShareLock,t
1416639027.68379,pg_statio_all_tables,27306,AccessShareLock,t
1416639087.68715,lineitem,27309,ShareLock,t
1416639087.68715,lineitem,27310,AccessExclusiveLock,f
1416639087.68715,pg_locks,27321,AccessShareLock,t
1416639087.68715,pg_stat_all_indexes,27323,AccessShareLock,t
1416639087.68715,pg_stat_all_tables,27320,AccessShareLock,t
1416639087.68715,pg_stat_database,27322,AccessShareLock,t
1416639087.68715,pg_statio_all_indexes,27323,AccessShareLock,t
1416639087.68715,pg_statio_all_tables,27320,AccessShareLock,t
1416639147.68891,lineitem,27310,ShareLock,t
1416639147.68891,lineitem,27336,ShareLock,f
1416639147.68891,lineitem,27333,ShareLock,f
1416639147.68891,lineitem,27335,ShareLock,f
1416639147.68891,lineitem,27332,ShareLock,f
1416639147.68891,lineitem,27334,ShareLock,f
1416639147.68891,lineitem,27310,AccessExclusiveLock,t
1416639147.68891,lineitem,27331,ShareLock,f
1416639147.68891,pg_locks,27346,AccessShareLock,t
1416639147.68891,pg_stat_all_indexes,27348,AccessShareLock,t
1416639147.68891,pg_stat_all_tables,27344,AccessShareLock,t
1416639147.68891,pg_stat_database,27347,AccessShareLock,t
1416639147.68891,pg_statio_all_indexes,27348,AccessShareLock,t
1416639147.68891,pg_statio_all_tables,27344,AccessShareLock,t
1416639207.68895,lineitem,27331,ShareLock,t
1416639207.68895,lineitem,27334,ShareLock,t
1416639207.68895,lineitem,27332,ShareLock,t
1416639207.68895,lineitem,27335,ShareLock,t
1416639207.68895,lineitem,27333,ShareLock,t
1416639207.68895,pg_locks,27357,AccessShareLock,t
1416639207.68895,pg_stat_all_indexes,27361,AccessShareLock,t
1416639207.68895,pg_stat_all_tables,27359,AccessShareLock,t
1416639207.68895,pg_stat_database,27358,AccessShareLock,t
1416639207.68895,pg_statio_all_indexes,27361,AccessShareLock,t
1416639207.68895,pg_statio_all_tables,27359,AccessShareLock,t
